ID,Resort,Latitude,Longitude,Country,Continent,Season,Lift capacity,Child friendly,Snowparks,Nightskiing,Summer skiing
258,Scuol-Motta Naluns,46.811169,10.2726212,Switzerland,Europe,December - April,18000,Yes,Yes,No,No
259,Okemo,43.41769055,-72.69828454,United States,North America,November - April,29050,Yes,Yes,Yes,No
260,Mont-Sainte-Anne-Beaupre?,47.0877219,-70.92606776,Canada,North America,November - April,13200,Yes,Yes,Yes,No
261,North Mountain Resort,48.300619,-117.562991,United States,North America,November - April,8250,Yes,No,No,No
262,Passo San Pellegrino-?Falcade,46.36726075,11.80236956,Italy,Europe,November - April,24030,Yes,Yes,No,No
263,Bear Valley,37.5688237,-120.1193489,United States,North America,December - April,11800,Yes,No,No,No
264,Apex Resort,49.3900432,-119.9047389,Canada,North America,December - April,4720,Yes,Yes,Yes,No
265,Brighton,39.983721,-104.8110775,United States,North America,November - April,13200,Yes,Yes,Yes,No
266,Piau Engaly,42.78020745,0.158613507,France,Europe,November - April,13615,Yes,Yes,No,No
267,Flumserberg,47.0828502,9.276589934,Switzerland,Europe,November - April,30867,Yes,Yes,Yes,No
268,Super Sauze,44.3578176,6.6855952,France,Europe,December - April,17948,Yes,Yes,No,No
269,Bukovel,48.353783,24.41283,Ukraine,Europe,November - May,33839,Yes,Yes,Yes,No
270,La Norma,45.1772565,6.7195145,France,Europe,December - April,13290,Yes,Yes,No,No
271,Mt - Hood Skibowl,45.3018189,-121.7737856,United States,North America,November - April,6500,Yes,Yes,Yes,No
272,Kirkwood,38.5800713,-90.4069177,United States,North America,November - April,21420,Yes,Yes,No,No
273,Red Lodge Mountain,45.1907531,-109.3368732,United States,North America,November - April,10200,Yes,No,No,No
274,Solitude,40.6202462,-111.5919046,United States,North America,November - April,16400,Yes,No,No,No
275,Pal-?Arinsal-La Massana-Vallnord-,42.55464075,1.448789398,Andorra,Europe,December - April,37400,Yes,Yes,No,No
276,Arabba,46.4971763,11.8740902,Italy,Europe,December - April,43973,Yes,Yes,No,No
277,Wildkogel-Neukirchen-?Bramberg,47.2743375,12.29774135,Austria,Europe,December - April,27388,Yes,Yes,Yes,No
278,Alyeska Resort-Girdwood,60.96188655,-149.0808696,United States,North America,November - April,11200,Yes,No,Yes,No
279,Hintertux Glacier,47.061277,11.665036,Austria,Europe,Year-round,38852,Yes,Yes,No,Yes
280,Disentis,46.7041748,8.8549785,Switzerland,Europe,December - April,10990,Yes,Yes,No,No
281,Belalp-Blatten,46.3648823,7.9796899,Switzerland,Europe,December - April,13640,Yes,Yes,No,No
282,San Martino di Castrozza,46.2623377,11.802828,Italy,Europe,November - April,29859,Yes,Yes,Yes,No
283,Meiringen-Hasliberg,46.7468975,8.219472173,Switzerland,Europe,December - April,16381,Yes,No,Yes,No
284,Toggenburg-Wildhaus-?Unterwasser-?Alt St - Johann,47.180949,9.32019222,Switzerland,Europe,December - April,19956,Yes,Yes,Yes,No
285,Alpe di Siusi-Seiser Alm-,46.5639036,11.60457618,Italy,Europe,December - April,35624,Yes,Yes,No,No
286,Le Lioran,45.0912003,2.7503788,France,Europe,December - April,25195,Yes,Yes,Yes,No
287,Saint Luc-?Chandolin-Anniviers-,46.236536,7.627631245,Switzerland,Europe,December - April,10350,Yes,Yes,No,No
288,Les Karellis,45.2285712,6.4064649,France,Europe,December - April,17452,Yes,Yes,No,No
289,Peyragudes,42.7807436,0.45611311,France,Europe,December - April,22791,Yes,Yes,No,No
290,Leysin,46.3438701,7.0148403,Switzerland,Europe,December - April,12980,Yes,Yes,No,No
291,Gudauri,42.4765577,44.4770286,Georgia,Asia,December - April,15400,Yes,Yes,Yes,No
292,Mount Snow,42.9589685,-72.9237112,United States,North America,November - April,27000,Yes,Yes,No,No
293,Mount Washington,49.7528282,-125.2963912,Canada,North America,December - April,11620,Yes,Yes,Yes,No
294,Ponte di Legno-Passo ?Tonale-?Presena Glacier-?Temu?-Pontedilegno-Tonale-,46.258603,10.508662,Italy,Europe,October - May,49825,Yes,Yes,Yes,No
295,Gore Mountain,40.2235948,-106.6575409,United States,North America,November - April,21000,Yes,Yes,No,No
296,Eggli-?La Videmanette-Gstaad-?Saanen-?Rougemont,47.291778,9.1733641,Switzerland,Europe,December - March,15363,Yes,No,No,No
297,Anze?re,46.2970711,7.3989488,Switzerland,Europe,December - April,12462,Yes,Yes,No,No
298,Borovets,42.2668301,23.6074324,Bulgaria,Europe,December - April,15800,Yes,Yes,Yes,No
299,Font-Romeu-?Bolque?re Pyre?ne?es,42.5043981,2.0715162,France,Europe,December - April,27378,Yes,Yes,No,No
300,Oppdal,62.53517845,9.62330412,Norway,Europe,Unknown,0,Yes,No,No,No
301,Bre?vent-?Fle?ge?re-Chamonix-,45.9479384,6.868594877,France,Europe,December - April,26734,Yes,Yes,No,No
302,Bretton Woods,44.2576311,-71.4413006,United States,North America,November - April,15406,Yes,Yes,Yes,No
303,Les Houches-?Saint-Gervais-Prarion-?Bellevue-Chamonix-,45.891508,6.799138,France,Europe,December - April,19859,Yes,Yes,No,No
304,Ylla?s,67.5647092,24.2246252,Finland,Europe,November - May,28284,Yes,Yes,Yes,No
305,Belvedere-?Col Rodella-?Ciampac-?Buffaure-Canazei-?Campitello-?Alba-?Pozza di Fassa,45.6850704,11.7729604,Italy,Europe,December - April,56216,Yes,Yes,Yes,No
306,Revelstoke Mountain Resort,50.9692628,-118.1092086,Canada,North America,December - April,9200,Yes,Yes,No,No
307,Lauchernalp-Lo?tschental,46.41274665,7.774925326,Switzerland,Europe,April,6800,Yes,Yes,No,No
308,Grossglockner Heiligenblut,47.0745464,12.6938826,Austria,Europe,December - April,12500,Yes,No,No,No
309,Brandnertal-Brand-?Bu?rserberg,47.119176,9.7578764,Austria,Europe,December - April,18963,Yes,Yes,Yes,No
310,Alpe du Grand-Serre-La Morte,45.0274177,5.8581966,France,Europe,December - March,13486,Yes,Yes,No,No
311,Les Angles,43.0835762,0.0062129,France,Europe,November - April,21787,Yes,Yes,Yes,No
312,Kopaonik,43.2689885,20.826741,Serbia,Europe,December - April,35052,Yes,Yes,Yes,No
313,Aussois,45.2275415,6.7413988,France,Europe,December - April,9228,Yes,Yes,No,No
314,Apache,35.214632,-109.4786676,United States,North America,Unknown,15800,Yes,No,No,No
315,Erciyes-Kayseri,38.5327397,35.4502248,Turkey,Asia,December - April,23800,Yes,No,No,No
316,Hunter Mountain,42.1778662,-74.2304216,United States,North America,Unknown,15910,Yes,No,No,No
317,First-Grindelwald,46.6504815,8.065073279,Switzerland,Europe,December - March,12720,Yes,Yes,No,No
318,So?renberg-Rothorn-?Dorf,46.8221657,8.0349311,Switzerland,Europe,December - April,20930,Yes,Yes,Yes,No
319,Riserva Bianca-Limone Piemonte,44.1853305,7.581660887,Italy,Europe,December - April,20655,Yes,No,No,No
320,Eldora Mountain,37.3862661,-122.0726046,United States,North America,November - April,13020,Yes,Yes,Yes,No
321,Donner Ski Ranch,39.3188801,-120.331067,United States,North America,December - April,6500,Yes,No,No,No
322,Las Len?as,-35.1455071,-70.0820619,Argentina,South America,June - September,13340,Yes,Yes,Yes,Yes
323,Happo-One-Hakuba,36.7035607,137.8226173,Japan,Asia,December - May,29100,Yes,Yes,Yes,No
324,Gitschberg Jochtal,46.82666885,11.6645207,Italy,Europe,December - April,23617,Yes,Yes,No,No
325,Schilthorn-Mu?rren-?Lauterbrunnen,46.55744425,7.892432481,Switzerland,Europe,December - April,13852,Yes,Yes,No,No
326,Dachstein West,47.5149184,13.4498696,Austria,Europe,December - April,32938,Yes,Yes,Yes,No
327,Cypress Mountain,49.3976802,-123.2011443,Canada,North America,November - April,10300,Yes,Yes,Yes,No
328,Pila,45.7699441,8.0810802,Italy,Europe,November - April,22154,Yes,Yes,No,No
329,Brigels-?Waltensburg-?Andiast,46.7700497,9.067384,Switzerland,Europe,December - March,10030,Yes,Yes,Yes,No
330,Aprica,46.152697,10.151656,Italy,Europe,November - May,13965,Yes,Yes,No,No
331,Bormio-Cima Bianca,46.4397574,10.3924531,Italy,Europe,November - April,17630,Yes,Yes,Yes,No
332,Sedrun-Oberalp,46.6652022,8.704905479,Switzerland,Europe,November - April,12100,Yes,Yes,No,No
333,Grosseck-?Speiereck-Mauterndorf-?St - Michael,47.1217604,13.64406919,Austria,Europe,December - April,14286,Yes,No,Yes,No
334,Hirmentaz-?Les Habe?res-Bellevaux-?Habe?re-Poche,46.2511455,6.517806672,France,Europe,December - March,29480,Yes,Yes,No,No
335,Pragelato,45.0162171,6.9424531,Italy,Europe,December - April,3660,Yes,No,No,No
336,Porte? Puymorens,42.5488878,1.833462,France,Europe,September - April,7380,Yes,Yes,No,No
337,Mythenregion,47.0217081,8.723539208,Switzerland,Europe,December - March,12592,Yes,Yes,No,No
338,Candanchu?,42.78888865,-0.52873445,Spain,Europe,December - April,19650,Yes,No,No,No
339,Zugspitze,47.421215,10.986297,Germany,Europe,May,13150,Yes,No,No,No
340,Zao Onsen,38.1679266,140.4003442,Japan,Asia,December - May,50000,Yes,Yes,No,No
341,Lindvallen-?Ho?gfja?llet-Sa?len-,61.159705,13.193609,Sweden,Europe,November - May,50505,Yes,Yes,Yes,No
342,Jasna? Ni?zke Tatry-Chopok,48.966941,19.58101661,Slovakia,Europe,December - May,35225,Yes,Yes,Yes,No
343,Mitsumata-?Kagura-?Tashiro-Mt - Naeba-,36.3937327,139.0890263,Japan,Asia,November - May,31400,Yes,Yes,No,No
344,Tanda?dalen-?Hundfja?llet-Sa?len-,61.1792462,12.9919443,Sweden,Europe,November - May,42636,Yes,Yes,Yes,No
345,Appi Kogen,40.0123954,140.9976755,Japan,Asia,Unknown,23800,Yes,No,No,No
346,Gazprom Mountain Resort-Laura-– Esto-Sadok-Sotschi-,43.684855,40.281935,Russia,Europe,December - April,27874,Yes,No,Yes,No
347,Rusutsu,42.7374243,140.8754821,Japan,Asia,November - April,31128,Yes,Yes,Yes,No
348,Steinplatte-?Winklmoosalm-Waidring-?Reit im Winkl,48.7329198,15.5705666,Austria,Europe,November - April,31940,Yes,Yes,No,No
349,Uludag?-Bursa,40.0705295,29.2220098,Turkey,Asia,Unknown,19637,Yes,Yes,No,No
350,Rigi,47.0567184,8.4853157,Switzerland,Europe,Unknown,6500,Yes,No,No,No
351,Me?tabief,46.7734907,6.3505765,France,Europe,Unknown,24745,Yes,No,No,No
352,Vitosha-Sofia,42.6167377,23.27422928,Bulgaria,Europe,December - April,12450,Yes,No,Yes,No
353,Latemar-Obereggen-?Pampeago-?Predazzo,46.3563067,11.53719305,Italy,Europe,November - April,36540,Yes,Yes,Yes,No
354,Szczyrk-Skrzyczne,49.7071204,19.0117088,Poland,Europe,December - April,22500,Yes,No,No,No
355,Mariborsko Pohorje-Maribor,46.5153389,15.5782311,Slovenia,Europe,December - March,23436,Yes,No,Yes,No
356,El Colorado-?Farellones,-33.3398691,-70.2915752,Chile,South America,June - October,21500,Yes,Yes,No,Yes
357,Praz de Lys-?Sommand-Taninges-?Mieussy-,46.15746735,6.569485327,France,Europe,December - April,26205,Yes,Yes,No,No
358,Jahorina,43.7233441,18.59622766,Bosnia and Herzegovina,Europe,Unknown,16230,Yes,No,Yes,No
359,Espace Do?le-La Do?le-?Les Tuffes,47.0944134,5.492668685,France,Europe,December - March,19380,Yes,Yes,No,No
360,Myoko Akakura,36.89304245,138.1795517,Japan,Asia,Unknown,37400,Yes,Yes,Yes,No
361,Naeba-Mt - Naeba-,36.8459419,138.690323,Japan,Asia,December - April,25400,Yes,Yes,Yes,No
362,Nozawa Onsen,36.91722415,138.4640226,Japan,Asia,November - April,29772,Yes,Yes,Yes,No
363,Kreischberg,47.0634486,14.03933,Austria,Europe,December - April,18808,Yes,Yes,No,No
364,Garmisch-Classic-Garmisch-Partenkirchen,47.4596073,11.07616628,Germany,Europe,December - April,21090,Yes,Yes,No,No
365,Carezza Ski,46.42089735,11.58845807,Italy,Europe,December - April,19200,Yes,Yes,No,No
366,Pizol-Bad Ragaz-?Wangs,46.979739,9.436717,Switzerland,Europe,December - April,12786,Yes,Yes,Yes,No
367,SuperBesse-Puy de Sancy,45.506646,2.8594,France,Europe,December - April,21245,Yes,Yes,Yes,No
368,Sto?ten,61.2660478,12.8904555,Sweden,Europe,Unknown,19250,Yes,No,No,No
369,Palando?ken-Ejder,39.5430157,42.9152472,Turkey,Asia,November - April,15390,Yes,Yes,Yes,No
370,Fellhorn-?Kanzelwand-Oberstdorf-?Riezlern,47.6099906,12.5088699,Austria,Europe,December - April,22076,Yes,Yes,Yes,No
371,Idre Fja?ll,61.8896064,12.8330743,Sweden,Europe,October - April,24760,Yes,Yes,Yes,No
372,Großglockner Resort Kals-Matrei,47.009935,12.6232,Austria,Europe,December - April,18276,Yes,Yes,No,No
373,Pamporovo,41.64619295,24.67356329,Bulgaria,Europe,December - April,14266,Yes,Yes,Yes,No
