ID,Resort,Latitude,Longitude,Country,Continent,Season,Lift capacity,Child friendly,Snowparks,Nightskiing,Summer skiing
441,Grebenzen-St - Lambrecht,47.0536954,14.33034179,Austria,Europe,December - March,6790,Yes,No,No,No
442,Kirchdorf,47.57562605,12.38734435,Austria,Europe,December - March,3570,Yes,No,No,No
443,Nebelhorn-Oberstdorf,47.4218727,10.3423461,Germany,Europe,December - May,5990,Yes,No,No,No
444,Lachtal,47.2524874,14.3682392,Austria,Europe,December - April,10620,Yes,No,No,No
445,Ramsau am Dachstein-Rittisberg,47.4185564,13.5929847,Austria,Europe,December - March,10815,Yes,No,No,No
446,Bu?rchen-?To?rbel-Moosalp,46.251276,7.829707,Switzerland,Europe,December - March,7470,Yes,No,Yes,No
447,Guzet,42.7762455,1.3131615,France,Europe,December - March,11130,Yes,Yes,No,No
448,Montage Mountain Resort,41.349713,-75.662134,United States,North America,December - March,8800,Yes,Yes,Yes,No
449,Schetteregg-Egg,47.4167682,9.9826655,Austria,Europe,November - March,6642,Yes,Yes,No,No
450,Fichtelberg-Oberwiesenthal,50.4291364,12.9547281,Germany,Europe,December - April,7384,Yes,Yes,Yes,No
451,Bellwald,46.4237017,8.1599477,Switzerland,Europe,December - April,4620,Yes,Yes,No,No
452,Klewenalp-?Stockhu?tte-Beckenried-?Emmetten,46.9391136,8.4741614,Switzerland,Europe,December - April,13394,Yes,No,No,No
453,Scho?neck-Skiwelt-,50.2056,8.83333,Germany,Europe,December - March,4324,Yes,Yes,Yes,No
454,Bia?ka Tatrzan?ska-Kotelnica-?Kanio?wka-?Bania,49.3946417,20.1050528,Poland,Europe,December - April,28020,Yes,Yes,Yes,No
455,S?trbske? Pleso,49.1191897,20.063955,Slovakia,Europe,December - April,7700,Yes,Yes,No,No
456,Gaissau-Hintersee,47.7147891,13.23800875,Austria,Europe,March,10110,Yes,Yes,No,No
457,Sandia Peak,35.2100445,-106.4496496,United States,North America,Unknown,4000,Yes,No,No,No
458,Kellerjoch-Schwaz,47.3302137,11.71804485,Austria,Europe,April,3786,Yes,No,No,No
459,Aillons-Marge?riaz,45.60283055,6.098268696,France,Europe,Unknown,10025,Yes,No,No,No
460,Hochrindl-Sirnitz,46.8226776,14.0524733,Austria,Europe,December - March,7350,Yes,Yes,Yes,No
461,La Bresse-Hohneck,48.03400165,6.983339743,France,Europe,December,21515,Yes,No,Yes,No
462,Silbersattel-Steinach,50.4399275,11.1511781,Germany,Europe,December - April,3300,Yes,Yes,No,No
463,Gornaya Karusel,43.683048,40.266475,Russia,Europe,December - April,15740,Yes,No,No,No
464,Lammeralm-Langenwang,47.60520455,15.58475687,Austria,Europe,December - March,2800,Yes,No,No,No
465,Kitzbu?heler Horn,47.476123,12.4297939,Austria,Europe,December - April,10110,Yes,Yes,No,No
466,Myrkdalen,60.8420056,6.4666278,Norway,Europe,November - May,10279,Yes,Yes,Yes,No
467,Shymbulak-Chimbulak-,43.1388747,77.0710684,Kazakhstan,Asia,Unknown,8790,Yes,No,No,No
468,Loser-Altaussee,47.6607391,13.7710285,Austria,Europe,December - April,11114,Yes,Yes,No,No
469,Christlum-Achenkirch,47.50747545,11.67908871,Austria,Europe,December - April,12843,Yes,Yes,No,No
470,Grasgehren-Bolgengrat,47.4425742,10.1761213,Germany,Europe,November - April,5140,Yes,Yes,No,No
471,Crystal Mountain-WA-,46.9281666,-121.504535,United States,North America,November - May,20500,Yes,Yes,No,No
472,Go?tschen-Bischofswiesen,47.6495716,12.9380903,Germany,Europe,December - April,4000,Yes,No,Yes,No
473,Torrent-Leukerbad,46.3728566,7.6541765,Switzerland,Europe,December - April,11390,Yes,Yes,No,No
474,Monte Popolo-Eben im Pongau,47.4041442,13.41875165,Austria,Europe,December - April,4550,Yes,Yes,No,No
475,Sun Mountain-Yabuli,44.9293976,128.6043934,China,Asia,November - April,13776,Yes,No,No,No
476,Jochgrimm-Passo Oclini-,46.3473164,11.4515353,Italy,Europe,December - April,3540,Yes,No,No,No
477,Alpe Lusia-Moena-?Bellamonte,46.3390273,11.70654171,Italy,Europe,December - April,16280,Yes,Yes,No,No
478,Unternberg-Ruhpolding-,47.7293144,12.6401193,Germany,Europe,December - March,3350,Yes,No,Yes,No
479,Diavolezza-?Lagalb,46.429214,9.977345144,Switzerland,Europe,October - November - December - May - June - October,3970,Yes,No,No,Yes
480,Kubi?nska hol?a,49.2852625,19.26742095,Slovakia,Europe,December - April,11480,Yes,Yes,No,No
481,Stevens Pass,47.7456352,-121.089171,United States,North America,December - April,17110,Yes,Yes,Yes,No
482,Ga?la?,61.5058146,9.7847118,Norway,Europe,November - April,7600,Yes,Yes,Yes,No
483,Kvitfjell,58.6834043,9.0280158,Norway,Europe,October - May,17952,Yes,Yes,Yes,No
484,Molines-en-Queyras-?Saint-Ve?ran,44.7122166,6.870256556,France,Europe,December - April,12290,Yes,No,No,No
485,Tatranska? Lomnica,49.1655267,20.2791933,Slovakia,Europe,December - April,12480,Yes,No,No,No
486,Mt - Dobson,-43.9218555,169.757177,New Zealand,Oceania,July - October,3660,Yes,No,No,Yes
487,Kanin-Sella Nevea-?Bovec,46.3649708,13.48181712,Slovenia,Europe,December - April,11670,Yes,No,No,No
488,Postwiesen Skidorf-Neuastenberg,51.188476,8.518201,Germany,Europe,December - March,6762,Yes,Yes,Yes,No
489,Kaiseregg-?Riggisalp-Schwarzsee,46.6524972,7.3190559,Switzerland,Europe,December - March,5790,Yes,Yes,Yes,No
490,St - Pierre de Chartreuse-Le Planolet,45.3422689,5.8146864,France,Europe,December - April,12610,Yes,No,No,No
491,Loon Mountain,44.5164518,-74.6496253,United States,North America,November - April,17034,Yes,Yes,No,No
492,Oberjoch-Bad Hindelang–- Iseler,47.5087114,10.4087222,Germany,Europe,December - April,12388,Yes,Yes,Yes,No
493,Mo?nichkirchen-?Mariensee,47.5235306,15.99868228,Austria,Europe,March,6741,Yes,Yes,No,No
494,Gra?chen,46.1960178,7.8421612,Switzerland,Europe,December - April,13860,Yes,No,No,No
495,Puigmal,42.3950066,2.1088833,France,Europe,Unknown,11865,Yes,No,No,No
496,Kranzberg-Mittenwald,47.4513588,11.2286303,Germany,Europe,December,5850,Yes,Yes,Yes,No
497,Wetterstein lifts-Wettersteinbahnen–- Ehrwald,47.406897,10.927998,Austria,Europe,December - March,5425,Yes,Yes,No,No
498,Stuhleck-Spital am Semmering,47.5741948,15.7899645,Austria,Europe,April,14400,Yes,Yes,Yes,No
499,Le Massif,47.2759,-70.6259857,Canada,North America,December - April,11759,Yes,Yes,No,No
